59,-18,2
58,-17,1
61,-18,2
61,-17,4
60,-17,4
59,-16,3
58,-15,3
56,-15,4
58,-17,3
58,-17,3
59,-18,3
60,-19,0
60,-17,0
63,-17,-1
62,-17,-1
62,-16,-2
64,-16,0
63,-18,-2
61,-18,-2
62,-18,2
60,-19,3
59,-19,3
61,-18,5
61,-17,6
62,-19,6
61,-17,5
61,-15,5
60,-15,5
58,-15,4
57,-16,4
58,-15,5
61,-14,4
61,-16,4
62,-17,4
63,-16,2
62,-15,1
61,-16,2
60,-16,2
61,-16,2
61,-16,4
60,-16,6
60,-16,6
60,-16,7
60,-16,8
60,-15,7
60,-15,7
59,-16,7
59,-16,6
60,-15,5
61,-16,5
61,-16,5
61,-15,5
61,-15,5
60,-15,5
60,-15,6
60,-15,5
61,-15,5
61,-15,5
61,-16,5
60,-15,5
60,-15,5
60,-15,5
61,-15,5
61,-15,5
61,-15,5
61,-15,6
60,-15,6
60,-15,6
61,-15,6
61,-15,6
61,-15,5
60,-15,5
61,-15,4
63,-15,5
62,-15,6
58,-15,6
58,-15,6
61,-14,8
61,-14,7
61,-14,8
63,-15,9
62,-14,9
61,-14,10
60,-14,12
58,-15,9
58,-14,11
59,-13,11
61,-14,8
62,-15,8
62,-15,9
60,-15,8
59,-15,8
60,-14,9
59,-15,8
60,-15,8
61,-15,10
61,-15,10
61,-15,10
61,-14,11
58,-15,8
59,-15,8
60,-15,8
60,-15,7
60,-15,8
59,-15,8
60,-15,8
60,-15,11
60,-15,10
60,-15,8
59,-16,7
59,-15,9
60,-16,9
60,-16,10
60,-15,8
60,-15,9
60,-15,9
59,-15,8
60,-15,9
60,-16,9
60,-15,8
61,-16,9
60,-16,9
60,-16,8
59,-15,9
60,-16,10
60,-16,9
59,-16,10
60,-15,10
60,-16,9
59,-16,9
60,-15,10
60,-16,9
61,-15,8
60,-16,10
60,-16,9
59,-15,9
59,-16,10
59,-16,10
59,-15,10
60,-15,10
60,-15,10
60,-15,10
61,-15,10
60,-15,10
60,-16,10
59,-15,9
59,-16,9
59,-16,9
60,-16,9
60,-16,9
60,-16,9
60,-15,10
60,-15,10
60,-15,10
60,-15,10
60,-15,10
60,-16,10
60,-15,9
60,-15,9
59,-16,9
60,-16,9
60,-15,9
60,-15,10
60,-16,10
60,-15,10
60,-15,10
60,-15,9
60,-15,9
59,-16,9
60,-15,9
60,-15,9
60,-15,10
60,-16,10
60,-16,10
60,-15,10
59,-15,10
60,-16,10
60,-16,10
60,-16,9
60,-16,9
60,-15,10
60,-16,9
60,-15,9
60,-15,9
60,-15,9
60,-16,10
60,-16,10
60,-16,9
60,-15,10
59,-15,10
59,-15,9
59,-16,9
60,-16,9
60,-15,9
60,-15,9
60,-15,10
60,-15,10
60,-15,10
60,-15,9
60,-15,9
60,-15,9
60,-15,9
